year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2003,Sofoklis Schortsanitis,Los Angeles Clippers,Iraklis Thessaloniki B.C. (Greece),2,5,34,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2010,Solomon Alabi,Dallas Mavericks,Florida State,2,20,50,C,13.20,3.1,3.68,22.5,26.0,10,5.00,9.25,9.25,83.5,84.75,113.0,237.4,89.0,alabiso01
2013,Solomon Hill,Indiana Pacers,Arizona,1,23,23,F,10.77,2.91,3.19,29.5,37.5,14,7.60,9.00,10.50,77.5,79.0,103.0,226.0,81.0,hillso01
2006,Solomon Jones,Atlanta Hawks,South Florida,2,3,33,F,11.27,3.1,3.30,32.0,39.0,6,7.40,8.95,9.59,80.5,81.75,109.0,224.0,88.75,jonesso01
2008,Sonny Weems,Chicago Bulls,Arkansas,2,9,39,G,10.58,3.04,2.96,29.0,36.5,12,4.40,8.46,9.1,76.0,77.5,104.0,193.0,82.0,weemsso01
2000,Soumaila Samake,New Jersey Nets,Cincinnati Stuff (IBL),2,7,36,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,samakso01
2000,Speedy Claxton,Philadelphia 76ers,Hofstra,1,20,20,G,10.48,3.04,3.06,36.0,42.5,6,6.39,8.46,9.1,70.5,76.12,94.5,166.0,72.0,claxtsp01
2014,Spencer Dinwiddie,Detroit Pistons,Colorado,2,8,38,G,11.11,3.04,3.22,30.1,36.1,8.78,5.35,8.25,9.00,76.5,78.0,103.0,204.9,80.25,dinwisp01
2007,Spencer Hawes,Sacramento Kings,Washington,1,10,10,F,11.88,3.1,3.51,26.0,29.0,9,13.00,8.95,9.59,82.0,84.75,110.0,244.0,84.5,hawessp01
2007,Stanko Barac,Miami Heat,HKK Siroki (Bosnia and Herzegovina),2,9,39,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2015,Stanley Johnson,Detroit Pistons,Arizona,1,8,8,F,11.46,3.1,3.3,29.41,34.23,11.36,7.50,9.00,9.00,77.0,78.5,102.0,241.8,83.5,johnsst04
2010,Stanley Robinson,Orlando Magic,Connecticut,2,29,59,F,11.65,3.1,3.23,29.41,37.5,6,8.30,9.00,9.00,78.5,79.75,107.5,213.2,84.0,
2007,Stephane Lasme,Golden State Warriors,Massachusetts,2,16,46,F,11.73,3.1,3.22,29.5,36.0,17,4.90,8.95,9.59,77.0,79.0,107.0,213.0,86.0,
2009,Stephen Curry,Golden State Warriors,Davidson,1,7,7,G,11.07,3.04,3.28,29.5,35.5,10,5.70,8.46,9.1,74.0,75.25,97.0,181.0,75.5,curryst01
2016,Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2,11,41,C,12.08,3.16,3.43,26.0,31.0,10.79,11.15,9.00,9.00,82.25,83.75,108.5,234.0,87.25,zimmest01
2017,Sterling Brown,Philadelphia 76ers,Southern Methodist,2,16,46,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,brownst02
2003,Steve Blake,Washington Wizards,Maryland,2,9,38,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,blakest01
