season,player_name,pro_id,cbb_id
2008,Marreese Speights,speigma01,marreese-speights-1
2008,Roy Hibbert,hibbero01,roy-hibbert-1
2008,JaVale McGee,mcgeeja01,javale-mcgee-1
2008,J.J. Hickson,hicksjj01,jj-hickson-1
2008,Alexis Ajinça,ajincal01,
2008,Ryan Anderson,anderry01,ryan-anderson-1
2008,Courtney Lee,leeco01,courtney-lee-1
2008,Kosta Koufos,koufoko01,kosta-koufos-1
2008,Serge Ibaka,ibakase01,
2008,Nicolas Batum,batumni01,
2008,George Hill,hillge01,george-hill-1
2008,Darrell Arthur,arthuda01,darrell-arthur-1
2008,Donté Greene,greendo01,donte-greene-1
2008,D.J. White,whitedj01,dj-white-1
2008,J.R. Giddens,giddejr01,jr-giddens-1
2008,Nikola Peković,pekovni01,
2008,Walter Sharpe,sharpwa01,walter-sharpe-1
2008,Joey Dorsey,dorsejo01,joey-dorsey-1
2008,Mario Chalmers,chalmma01,mario-chalmers-1
2008,DeAndre Jordan,jordade01,deandre-jordan-1
2008,Ömer Aşık,asikom01,
2008,Luc Mbah a Moute,mbahalu01,luc-richard-mbah-a-moute-1
2008,Kyle Weaver,weaveky01,kyle-weaver-1
2008,Sonny Weems,weemsso01,sonny-weems-1
2008,Chris Douglas-Roberts,douglch01,chris-douglas-roberts-1
2008,Nathan Jawai,jawaina01,
2008,Sean Singletary,singlse01,sean-singletary-1
2008,Patrick Ewing,ewingpa02,pat-ewing-1
2008,Ante Tomić,tomican01,
2008,Goran Dragić,dragigo01,
2008,Henry Walker,walkebi01,bill-walker-1
2008,Malik Hairston,hairsma01,malik-hairston-1
2008,DeVon Hardin,hardide01,devon-hardin-1
2008,Darnell Jackson,jacksda01,darnell-jackson-1
2008,Tadija Dragićević,dragita01,
2008,Maarty Leunen,leunema01,maarty-leunen-1
2008,Mike Taylor,taylomi01,mike-taylor-1
2008,Sasha Kaun,kaunsa01,sasha-kaun-1
2008,Joe Crawford,crawfjo01,joe-crawford-1
2008,Semih Erden,erdense01,
2009,Blake Griffin,griffbl01,blake-griffin-1
2009,Hasheem Thabeet,thabeha01,hasheem-thabeet-1
2009,James Harden,hardeja01,james-harden-1
2009,Tyreke Evans,evansty01,tyreke-evans-1
2009,Ricky Rubio,rubiori01,
2009,Jonny Flynn,flynnjo01,jonny-flynn-1
2009,Stephen Curry,curryst01,stephen-curry-1
2009,Jordan Hill,hilljo01,jordan-hill-1
2009,DeMar DeRozan,derozde01,demar-derozan-1
2009,Brandon Jennings,jennibr01,
2009,Terrence Williams,willite01,terrence-williams-1
2009,Gerald Henderson,hendege02,gerald-henderson-2
2009,Tyler Hansbrough,hansbty01,tyler-hansbrough-1
2009,Earl Clark,clarkea01,earl-clark-1
2009,Austin Daye,dayeau01,austin-daye-1
2009,James Johnson,johnsja01,james-johnson-2
2009,Jrue Holiday,holidjr01,jrue-holiday-1
2009,Ty Lawson,lawsoty01,ty-lawson-1
2009,Jeff Teague,teaguje01,jeff-teague-1
2009,Eric Maynor,maynoer01,eric-maynor-1
2009,Darren Collison,collida01,darren-collison-1
2009,Victor Claver,clavevi01,
2009,Omri Casspi,casspom01,
2009,Byron Mullens,mulleby01,bj-mullens-1
2009,Rodrigue Beaubois,beaubro01,
2009,Taj Gibson,gibsota01,taj-gibson-1
2009,DeMarre Carroll,carrode01,demarre-carroll-1
2009,Wayne Ellington,ellinwa01,wayne-ellington-1
2009,Toney Douglas,douglto01,toney-douglas-1
2009,Christian Eyenga,eyengch01,
2009,Jeff Ayres,pendeje02,jeff-pendergraph-1
2009,Jermaine Taylor,tayloje02,jermaine-taylor-1
2009,Dante Cunningham,cunnida01,dante-cunningham-1
2009,Sergio Llull,llullse01,
2009,DaJuan Summers,summeda01,dajuan-summers-1
2009,Sam Young,youngsa01,sam-young-1
2009,DeJuan Blair,blairde01,dejuan-blair-1
2009,Jon Brockman,brockjo01,jon-brockman-1
2009,Jonas Jerebko,jerebjo01,
2009,Derrick Brown,brownde04,derrick-brown-1
2009,Jodie Meeks,meeksjo01,jodie-meeks-1
2009,Patrick Beverley,beverpa01,patrick-beverley-1
2009,Marcus Thornton,thornma01,marcus-thornton-1
2009,Chase Budinger,budinch01,chase-budinger-1
2009,Nick Calathes,calatni01,nick-calathes-1
2009,Danny Green,greenda02,danny-green-1
2009,Henk Norel,norelhe01,
2009,Taylor Griffin,griffta01,taylor-griffin-1
2009,Sergiy Gladyr,gladyse01,
2009,A.J. Price,priceaj01,aj-price-1
2009,Nando De Colo,decolna01,
2009,Patty Mills,millspa02,patrick-mills-1
2009,Emir Preldžić,preldem01,
2009,Lester Hudson,hudsole01,lester-hudson-1
2009,Chinemelu Elonu,elonuch01,chinemelu-elonu-1
2010,John Wall,walljo01,john-wall-1
2010,Evan Turner,turneev01,evan-turner-1
2010,Derrick Favors,favorde01,derrick-favors-1
2010,Wesley Johnson,johnswe01,wes-johnson-1
2010,DeMarcus Cousins,couside01,demarcus-cousins-1
2010,Ekpe Udoh,udohek01,ekpe-udoh-1
2010,Greg Monroe,monrogr01,greg-monroe-1
2010,Al-Farouq Aminu,aminual01,al-farouq-aminu-1
2010,Gordon Hayward,haywago01,gordon-hayward-1
2010,Paul George,georgpa01,paul-george-1
2010,Cole Aldrich,aldrico01,cole-aldrich-1
2010,Xavier Henry,henryxa01,xavier-henry-1
2010,Ed Davis,davised01,ed-davis-1
2010,Patrick Patterson,pattepa01,patrick-patterson-1
2010,Larry Sanders,sandela01,larry-sanders-1
2010,Luke Babbitt,babbilu01,luke-babbitt-1
2010,Kevin Séraphin,serapke01,
2010,Eric Bledsoe,bledser01,eric-bledsoe-1
2010,Avery Bradley,bradlav01,avery-bradley-1
2010,James Anderson,anderja01,james-anderson-3
2010,Craig Brackins,brackcr01,craig-brackins-1
2010,Elliot Williams,williel01,elliot-williams-1
2010,Trevor Booker,booketr01,trevor-booker-1
2010,Damion James,jamesda01,damion-james-1
2010,Dominique Jones,jonesdo02,dominique-jones-1
2010,Quincy Pondexter,pondequ01,quincy-pondexter-1
2010,Jordan Crawford,crawfjo02,jordan-crawford-1
2010,Greivis Vásquez,vasqugr01,greivis-vasquez-1
2010,Daniel Orton,ortonda01,daniel-orton-1
2010,Lazar Hayward,haywala01,lazar-hayward-1
2010,Tibor Pleiß,pleisti01,
2010,Dexter Pittman,pittmde01,dexter-pittman-1
